category,activity_code,met,suggested_spoons,activity_clean,activity_description,source
Bicycling,01003,14.0,5,"Bicycling, mountain, uphill, vigorous","Bicycling, mountain, uphill, vigorous",2024 Adult Compendium of Physical Activities
Bicycling,01004,16.0,5,"Bicycling, mountain, competitive racing","Bicycling, mountain, competitive racing",2024 Adult Compendium of Physical Activities
Bicycling,01008,8.5,5,"Bicycling, BMX","Bicycling, BMX",2024 Adult Compendium of Physical Activities
Bicycling,01009,8.5,5,"Bicycling, mountain, general","Bicycling, mountain, general",2024 Adult Compendium of Physical Activities
Bicycling,01010,4.0,3,"Bicycling, <10 mph, leisure, to work or for pleasure","Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",2024 Adult Compendium of Physical Activities
Bicycling,01011,6.8,5,"Bicycling, to/from work, self selected pace","Bicycling, to/from work, self selected pace",2024 Adult Compendium of Physical Activities
Bicycling,01013,5.8,4,"Bicycling, on dirt or farm road, moderate pace","Bicycling, on dirt or farm road, moderate pace",2024 Adult Compendium of Physical Activities
Bicycling,01014,7.0,5,"Bicycling, general","Bicycling, general",2024 Adult Compendium of Physical Activities
Bicycling,01015,4.3,4,"Bicycling, self-selected easy pace","Bicycling, self-selected easy pace",2024 Adult Compendium of Physical Activities
Bicycling,01016,7.0,5,"Bicycling, self-selected moderate pace","Bicycling, self-selected moderate pace",2024 Adult Compendium of Physical Activities
Bicycling,01017,9.0,5,"Bicycling, self-selected vigorous pace","Bicycling, self-selected vigorous pace",2024 Adult Compendium of Physical Activities
Bicycling,01018,3.5,3,"Bicycling, leisure 5.5 mph","Bicycling, leisure 5.5 mph",2024 Adult Compendium of Physical Activities
Bicycling,01019,5.8,4,"Bicycling, leisure, 9.4 mph","Bicycling, leisure, 9.4 mph",2024 Adult Compendium of Physical Activities
Bicycling,01020,6.8,5,"Bicycling, 10-11.9 mph, leisure, slow, light effort","Bicycling, 10-11.9 mph, leisure, slow, light effort",2024 Adult Compendium of Physical Activities
Bicycling,01030,8.0,5,"Bicycling, 12-13.9 mph, leisure, moderate effort","Bicycling, 12-13.9 mph, leisure, moderate effort",2024 Adult Compendium of Physical Activities
Bicycling,01040,10.0,5,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort","Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",2024 Adult Compendium of Physical Activities
Bicycling,01050,12.0,5,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general","Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",2024 Adult Compendium of Physical Activities
Bicycling,01060,16.8,5,"Bicycling, >20 mph, racing, not drafting","Bicycling, >20 mph, racing, not drafting",2024 Adult Compendium of Physical Activities
Bicycling,01065,8.5,5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm","Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",2024 Adult Compendium of Physical Activities
Bicycling,01066,9.0,5,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm","Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",2024 Adult Compendium of Physical Activities
Bicycling,01070,5.0,4,Unicycling,Unicycling,2024 Adult Compendium of Physical Activities
Bicycling,01080,6.8,5,E-bike (electrically assisted) without electronic support,E-bike (electrically assisted) without electronic support,2024 Adult Compendium of Physical Activities
Bicycling,01084,6.0,4,E-bike (electrically assisted) with light electronic support,E-bike (electrically assisted) with light electronic support,2024 Adult Compendium of Physical Activities
Bicycling,01088,4.0,3,E-bike (electrically assisted) with high electronic support,E-bike (electrically assisted) with high electronic support,2024 Adult Compendium of Physical Activities
Bicycling,01200,6.8,5,"Bicycling, stationary, general","Bicycling, stationary, general",2024 Adult Compendium of Physical Activities
Bicycling,01210,3.5,3,"Bicycling, stationary, 25-30 watts, very light to light effort","Bicycling, stationary, 25-30 watts, very light to light effort",2024 Adult Compendium of Physical Activities
Bicycling,01214,4.0,3,"Bicycling, stationary, 50 watts, light effort","Bicycling, stationary, 50 watts, light effort",2024 Adult Compendium of Physical Activities
Bicycling,01216,5.0,4,"Bicycling, stationary, 60 watts, light to moderate effort","Bicycling, stationary, 60 watts, light to moderate effort",2024 Adult Compendium of Physical Activities
Bicycling,01218,5.8,4,"Bicycling, stationary, 70-80 watts","Bicycling, stationary, 70-80 watts",2024 Adult Compendium of Physical Activities
Bicycling,01220,6.0,4,"Bicycling, stationary, 90-100 watts, moderate to vigorous","Bicycling, stationary, 90-100 watts, moderate to vigorous",2024 Adult Compendium of Physical Activities
Bicycling,01224,6.8,5,"Bicycling, stationary, 101-125 watts","Bicycling, stationary, 101-125 watts",2024 Adult Compendium of Physical Activities
Bicycling,01228,8.0,5,"Bicycling, stationary, 126-150 watts","Bicycling, stationary, 126-150 watts",2024 Adult Compendium of Physical Activities
Bicycling,01232,10.3,5,"Bicycling, stationary, 151-199 watts","Bicycling, stationary, 151-199 watts",2024 Adult Compendium of Physical Activities
Bicycling,01236,10.8,5,"Bicycling, stationary, 200-229 watts, vigorous","Bicycling, stationary, 200-229 watts, vigorous",2024 Adult Compendium of Physical Activities
Bicycling,01240,12.5,5,"Bicycling, stationary, 230-250 watts, very vigorous","Bicycling, stationary, 230-250 watts, very vigorous",2024 Adult Compendium of Physical Activities
Bicycling,01244,13.8,5,"Bicycling, stationary, 270-305 watts, very vigorous","Bicycling, stationary, 270-305 watts, very vigorous",2024 Adult Compendium of Physical Activities
Bicycling,01248,16.3,5,"Bicycling, stationary, >325 watts, very vigorous","Bicycling, stationary, >325 watts, very vigorous",2024 Adult Compendium of Physical Activities
Bicycling,01252,5.5,4,"Bicycling, concentric only, 100 W","Bicycling, concentric only, 100 W",2024 Adult Compendium of Physical Activities
Bicycling,01254,11.0,5,"Bicycling, concentric only, 200 W","Bicycling, concentric only, 200 W",2024 Adult Compendium of Physical Activities
Bicycling,01262,2.3,2,"Bicycling, eccentric only, 100 to 149 W","Bicycling, eccentric only, 100 to 149 W",2024 Adult Compendium of Physical Activities
Bicycling,01264,4.0,3,"Bicycling, eccentric only, 200 W","Bicycling, eccentric only, 200 W",2024 Adult Compendium of Physical Activities
Bicycling,01270,9.0,5,"Bicycling, stationary, RPM/Spin bike class","Bicycling, stationary, RPM/Spin bike class",2024 Adult Compendium of Physical Activities
Bicycling,01290,8.8,5,"Bicycling, interactive virtual cycling, indoor cycle ergometer","Bicycling, interactive virtual cycling, indoor cycle ergometer",2024 Adult Compendium of Physical Activities
Bicycling,01305,8.8,5,"Bicycling, high intensity interval training","Bicycling, high intensity interval training",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02000,7.3,5,"Aerobic, general","Aerobic, general",2024 Adult Compendium of Physical Activities
